session_id,minute_index,viewer_count,join_rate_per_min,comment_rate_per_min,aud_u18_share,aud_18_24_share,aud_25_plus_share,aud_unknown_share,text_signal,audio_signal,visual_signal,behavior_signal,novelty_score,risk_score,event_flag
sess_000001,0,9,,0.0308,0.4581,0.4472,0.019,0.0756,0.0414,0.0933,0.0833,0.2199,0.3905,0.1499,
sess_000002,0,8,0.1765,0.8295,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000002,1,10,0.2749,0.8797,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000002,2,14,0.1852,0.6785,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000002,3,15,0.2266,0.6945,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000002,4,19,0.3449,1.0917,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000002,5,21,0.2772,0.6977,0.0295,0.6656,0.2776,0.0273,0.1298,0.0701,0.0746,0.4333,0.2624,0.2108,
sess_000003,0,32,,0.0589,0.0387,0.4691,0.3361,0.1561,0.0835,0.1018,0.2476,0.1544,0.3831,0.1681,
sess_000004,0,51,0.6179,2.7719,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,1,68,0.3186,2.0514,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,2,70,0.4138,2.7648,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,3,73,0.5257,2.3104,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,4,80,0.4155,3.7082,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,5,85,0.5253,7.1996,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,6,84,0.715,1.1546,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,7,83,0.3706,1.9395,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,8,107,0.5433,2.6788,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,9,111,0.5766,3.9203,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
sess_000004,10,109,0.4616,2.8582,0.1014,0.5815,0.2483,0.0688,0.0962,0.0977,0.0381,0.0016,0.1398,0.0623,
