session_id,platform,content_format,creator_account_id,creator_age_band,creator_region,account_tenure_days,start_time_local,duration_sec,category,aud_u18_share,aud_18_24_share,aud_25_plus_share,aud_unknown_share,viewer_peak,join_rate_per_min,exit_rate_per_min,comment_rate_per_min,cross_age_interaction_rate,text_signal,audio_signal,visual_signal,behavior_signal,novelty_score,trend_cluster_id,risk_score,risk_velocity,confidence_band,risk_tier,abstain_flag,suggested_action_tier,human_review_required,moderator_decision,final_action_taken,raw_report_count,downstream_harm_report_count,policy_violation_downstream,appeal_or_reversal,driver_age_risk,driver_boundary_escalation,driver_contextual_vulnerability,driver_emerging_trend
sess_000001,youtube,short_video,acct_000093,18_24,NA,197,2025-11-17T08:21:00,32,gaming,0.4581,0.4472,0.019,0.0756,9,,,0.0308,0.132,0.0414,0.0933,0.0833,0.2199,0.3905,trend_17,0.1499,0.0115,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000002,tiktok,live,acct_000812,18_24,NA,732,2025-11-05T18:11:00,410,lifestyle,0.0295,0.6656,0.2776,0.0273,25,0.2053,0.0286,0.8048,0.119,0.1298,0.0701,0.0746,0.4333,0.2624,trend_36,0.2108,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,True,True,False
sess_000003,youtube,short_video,acct_001550,18_24,EU,1045,2025-11-09T03:26:00,77,lifestyle,0.0387,0.4691,0.3361,0.1561,32,,,0.0589,0.1122,0.0835,0.1018,0.2476,0.1544,0.3831,trend_36,0.1681,-0.0155,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000004,tiktok,live,acct_001866,18_24,EU,93,2025-11-03T00:43:00,2565,general,0.1014,0.5815,0.2483,0.0688,153,0.5053,0.314,2.9287,0.0841,0.0962,0.0977,0.0381,0.0016,0.1398,trend_07,0.0623,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000005,facebook,short_video,acct_001102,unknown,APAC,53,2025-11-04T09:45:00,18,gaming,0.0765,0.344,0.555,0.0245,61,,,0.0631,0.0835,0.0536,0.1607,0.065,0.3689,0.3507,trend_21,0.1879,0.023,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000006,instagram,short_video,acct_000034,25_plus,NA,363,2025-12-04T14:44:00,82,lifestyle,0.1517,0.5514,0.2905,0.0065,78,,,0.1587,0.1004,0.1169,0.015,0.0636,0.0668,0.0326,trend_44,0.0727,-0.0015,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000007,tiktok,live,acct_000866,25_plus,MEA,353,2025-12-02T07:43:00,515,news,0.112,0.4211,0.2878,0.179,308,0.111,0.1334,0.6387,0.3045,0.1332,0.0459,0.3541,0.4793,0.716,trend_02,0.34,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,True,False,False
sess_000008,instagram,live,acct_001267,18_24,NA,229,2025-11-20T08:16:00,2853,fitness,0.0875,0.5371,0.3629,0.0125,53,0.0826,0.0748,5.3973,0.3171,0.0612,0.1187,0.0376,0.4368,0.0985,trend_40,0.2023,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000009,tiktok,short_video,acct_001562,unknown,NA,714,2025-12-06T17:35:00,13,music,0.4688,0.2364,0.2785,0.0163,15,,,0.1744,0.2238,0.2606,0.0998,0.0249,0.2736,0.0872,trend_22,0.184,0.0121,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000010,instagram,short_video,acct_001368,u18,EU,1026,2025-12-14T10:06:00,49,lifestyle,0.3551,0.6251,0.0021,0.0176,34,,,0.5608,0.1436,0.113,0.049,0.0867,0.1392,0.3107,trend_08,0.1326,-0.0129,high,low,False,none,False,unknown,none,1,1,True,False,False,False,False,False
sess_000011,tiktok,short_video,acct_000383,18_24,APAC,256,2025-11-16T02:48:00,71,news,0.6639,0.2316,0.0812,0.0232,24,,,0.4556,0.3451,0.1013,0.1085,0.0349,0.1189,0.3429,trend_42,0.1484,-0.0255,high,low,False,none,False,unknown,none,1,0,False,False,False,False,False,False
sess_000012,facebook,live,acct_000021,25_plus,EU,64,2025-11-09T08:41:00,1239,music,0.1258,0.2045,0.5774,0.0923,459,0.2514,0.1477,0.4626,0.1026,0.2223,0.1343,0.3918,0.2049,0.5767,trend_44,0.2602,0.0,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000013,facebook,short_video,acct_001348,unknown,LATAM,409,2025-11-26T13:21:00,24,education,0.1213,0.5654,0.1404,0.1729,87,,,0.0417,0.1132,0.2429,0.2042,0.0249,0.2818,0.2678,trend_15,0.1976,-0.028,high,low,False,none,False,unknown,none,0,0,True,False,False,False,False,False
sess_000014,tiktok,live,acct_000964,18_24,EU,278,2025-11-22T20:50:00,1971,gaming,0.6208,0.1153,0.0448,0.2192,73,0.4929,0.1431,0.9309,0.0478,0.1567,0.0485,0.1592,0.5089,0.113,trend_18,0.2275,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000015,youtube,live,acct_000287,18_24,MEA,693,2025-12-03T14:39:00,2231,comedy,0.6197,0.112,0.2635,0.0049,45,0.2352,0.0778,1.0189,0.3031,0.019,0.0522,0.1744,0.229,0.4495,trend_35,0.1862,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000016,facebook,short_video,acct_001245,18_24,LATAM,158,2025-11-23T19:31:00,74,lifestyle,0.0813,0.5079,0.4096,0.0011,45,,,0.06,0.1625,0.1442,0.099,0.0946,0.0948,0.041,trend_29,0.1088,0.0208,high,low,False,none,False,unknown,none,0,1,True,False,False,False,False,False
sess_000017,instagram,short_video,acct_000232,25_plus,MEA,368,2025-11-06T06:19:00,56,music,0.0242,0.4711,0.3269,0.1779,26,,,0.0279,0.0351,0.2245,0.0275,0.2341,0.0652,0.1171,trend_32,0.1284,0.036,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
sess_000018,tiktok,short_video,acct_000522,18_24,MEA,116,2025-12-25T02:25:00,33,lifestyle,0.01,0.2473,0.1422,0.6005,44,,,0.0615,0.3091,0.0158,0.0207,0.1589,0.0362,0.2322,trend_23,0.1046,0.0066,high,low,False,none,False,unknown,none,0,1,False,False,False,False,False,False
sess_000019,instagram,short_video,acct_000362,25_plus,MEA,561,2025-11-28T06:27:00,75,general,0.1773,0.4947,0.3011,0.0269,22,,,0.0831,0.046,0.0783,0.3164,0.0246,0.2447,0.0496,trend_16,0.1323,0.0091,high,low,False,none,False,unknown,none,0,2,False,False,False,True,False,False
sess_000020,instagram,short_video,acct_000868,u18,EU,147,2025-12-24T06:56:00,29,music,0.3557,0.3652,0.2425,0.0366,8,,,0.0811,0.3304,0.1374,0.1888,0.0521,0.0736,0.2214,trend_25,0.1409,-0.0178,high,low,False,none,False,unknown,none,1,0,False,False,True,False,False,False
sess_000021,instagram,short_video,acct_001206,18_24,MEA,342,2025-11-29T15:45:00,68,gaming,0.1708,0.6111,0.0456,0.1725,62,,,0.0607,0.1402,0.1869,0.1142,0.038,0.5159,0.0379,trend_05,0.2244,-0.009,high,low,False,none,False,unknown,none,1,0,False,False,False,False,False,False
sess_000022,facebook,live,acct_000637,25_plus,APAC,1051,2025-12-20T02:02:00,910,sports,0.0133,0.2384,0.372,0.3763,120,0.1134,0.0998,0.2344,0.262,0.1693,0.1461,0.2574,0.111,0.0733,trend_43,0.168,0.0,high,low,False,none,False,unknown,none,0,0,False,False,False,False,False,False
